Customer ID,Age,Gender,Income,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,NumWebVisitsMonth,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
35,36,Male,68657,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,7,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,Male,49389,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,7,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Male,67353,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,2,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,Male,23718,Jeans,Clothing,45,Indiana,S,Cyan,Summer,7,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,29,Male,42429,Dress,Clothing,37,Florida,M,Red,Winter,5,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,70,Male,48948,Pants,Clothing,60,Arizona,S,Turquoise,Summer,6,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,69,Male,80011,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,Male,20559,Scarf,Accessories,39,Alaska,M,Orange,Spring,8,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
43,20,Male,21994,Coat,Outerwear,100,Tennessee,M,Beige,Spring,5,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
44,25,Male,12456,Scarf,Accessories,69,Ohio,L,Lavender,Fall,2,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,39,Male,7500,Hat,Accessories,53,Kentucky,S,Silver,Summer,5,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,50,Male,79941,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,1,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,57,Male,7500,Shirt,Clothing,43,California,L,White,Summer,9,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,Male,41728,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,10,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,Male,12000,Shirt,Clothing,55,Nevada,M,Orange,Summer,6,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,Male,72550,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,8,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Male,65486,Blouse,Clothing,28,Maryland,M,Red,Spring,2,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Male,79143,Skirt,Clothing,59,Vermont,XL,Gray,Winter,3,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,Male,35790,T-shirt,Clothing,20,Alaska,M,Green,Summer,7,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,Male,82582,Skirt,Clothing,24,Mississippi,S,Peach,Winter,1,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,Male,66373,Coat,Outerwear,94,New Mexico,M,Brown,Summer,3,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Male,82384,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,1,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,Male,70287,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,3,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,Male,27938,Coat,Outerwear,64,West Virginia,M,White,Summer,3,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,Male,20000,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,6,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,63,Male,55954,Belt,Accessories,79,Louisiana,L,Yellow,Spring,7,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,Male,75777,Sweater,Clothing,37,Idaho,L,Brown,Summer,1,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,55,Male,66653,Scarf,Accessories,68,Texas,M,Orange,Winter,3,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Male,61823,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,7,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,Male,67680,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,5,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Male,70666,Boots,Footwear,83,Alabama,S,Green,Fall,4,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,Male,25721,Backpack,Accessories,36,New Jersey,M,Purple,Spring,7,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,31,Male,32474,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,7,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,45,Male,88194,Coat,Outerwear,33,Connecticut,L,Gray,Winter,5,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,Male,69096,Handbag,Accessories,46,Utah,L,Silver,Summer,4,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,Male,74854,Belt,Accessories,70,Tennessee,S,Cyan,Summer,5,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,22,Male,66991,Belt,Accessories,29,Alabama,M,Magenta,Fall,3,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Male,30000,Dress,Clothing,48,Virginia,L,Gold,Summer,8,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,Male,65031,Dress,Clothing,26,Georgia,M,Olive,Winter,7,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,Male,60631,Pants,Clothing,85,Hawaii,M,Teal,Spring,7,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,Male,28332,Gloves,Accessories,58,Indiana,L,Violet,Spring,2,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64,Male,40246,Scarf,Accessories,85,Utah,M,Blue,Summer,6,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,Male,75251,Hat,Accessories,43,Delaware,S,Teal,Summer,5,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,22,Male,75825,Dress,Clothing,53,Delaware,L,Gold,Summer,4,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,Male,26326,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,3,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,38,Male,56046,Jacket,Outerwear,96,Iowa,M,Olive,Winter,8,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,Male,29760,Sandals,Footwear,72,New York,XL,Blue,Summer,8,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Male,26304,Shoes,Footwear,96,Virginia,L,Maroon,Summer,7,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Male,23559,Pants,Clothing,28,Georgia,S,Olive,Spring,7,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,Male,38620,Dress,Clothing,40,Texas,M,Turquoise,Summer,3,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,Male,81361,Coat,Outerwear,32,Arizona,S,Peach,Spring,1,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,Male,29440,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,7,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Male,36138,Hoodie,Clothing,41,Nevada,L,Pink,Spring,7,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,Male,50388,Shoes,Footwear,53,Ohio,M,Green,Fall,7,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,Male,79593,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,2,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,Male,54178,Jacket,Outerwear,83,California,XL,Pink,Fall,2,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,Male,15678,Hat,Accessories,48,South Carolina,L,Violet,Summer,9,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,44,Male,19806,Scarf,Accessories,99,South Carolina,S,Green,Winter,7,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Male,12390,Jacket,Outerwear,87,Texas,M,Olive,Winter,1,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,37,Male,42394,Sweater,Clothing,62,Florida,M,Purple,Fall,7,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,Male,23626,Skirt,Clothing,76,Nevada,S,Silver,Spring,5,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,Male,30096,Sneakers,Footwear,100,Missouri,L,Pink,Fall,6,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,32,Male,47916,Gloves,Accessories,73,Delaware,S,Gold,Spring,6,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
98,21,Male,51813,Shoes,Footwear,92,Virginia,M,Teal,Winter,7,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,Male,78497,Jeans,Clothing,67,New York,XL,Teal,Spring,2,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,Male,50150,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,5,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,Male,47823,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,8,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,27,Male,34554,Coat,Outerwear,85,North Dakota,XL,White,Spring,6,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Male,85693,Socks,Clothing,67,Oklahoma,L,Violet,Winter,5,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,Male,65846,Boots,Footwear,89,West Virginia,L,Red,Winter,4,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,55,Male,87195,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,1,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,69,Male,24594,Backpack,Accessories,96,New York,M,Charcoal,Fall,5,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,Male,49096,Jacket,Outerwear,35,Minnesota,L,White,Summer,7,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,Male,52413,Sneakers,Footwear,67,Maryland,L,Olive,Winter,6,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,70,Male,38557,Socks,Clothing,79,Montana,L,Purple,Spring,7,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Male,89058,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,Male,77298,Backpack,Accessories,26,New York,M,Black,Summer,3,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
112,26,Male,68126,Belt,Accessories,75,Massachusetts,L,Purple,Summer,9,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,Male,57288,Gloves,Accessories,65,Florida,M,Red,Spring,6,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,44,Male,86037,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,70,Male,43974,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,7,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,Male,50785,Skirt,Clothing,94,Wyoming,M,Gray,Spring,6,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Male,90765,Shoes,Footwear,86,Virginia,S,Blue,Spring,1,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
118,50,Male,36550,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,9,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,50,Male,30753,Sweater,Clothing,45,Kentucky,L,Orange,Fall,5,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,Male,21918,Coat,Outerwear,76,Wyoming,M,Orange,Fall,6,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,64,Male,56129,Hat,Accessories,84,West Virginia,L,Red,Summer,4,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,Male,32557,Shorts,Clothing,72,Virginia,M,Olive,Winter,5,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,Male,19510,Backpack,Accessories,40,Washington,L,Brown,Spring,7,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,Male,30992,Sweater,Clothing,89,Louisiana,L,Brown,Fall,7,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,Male,101970,Sweater,Clothing,86,Nevada,M,Gray,Spring,2,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
126,49,Male,71488,Shorts,Clothing,54,California,M,Indigo,Winter,1,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,43,Male,79607,Shorts,Clothing,36,Mississippi,L,Pink,Spring,1,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,Male,54348,Sweater,Clothing,89,Mississippi,M,Gray,Winter,6,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,Male,435678,Scarf,Accessories,32,California,M,Gold,Spring,6,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,Male,77376,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,44,Male,62998,Scarf,Accessories,39,Kentucky,L,Violet,Fall,5,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,28,Male,61331,Skirt,Clothing,29,Maine,L,Indigo,Summer,8,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,Male,73448,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,52,Male,500970,Sweater,Clothing,65,Montana,M,Violet,Winter,4,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
135,43,Male,41551,Hat,Accessories,94,Texas,L,Gray,Fall,8,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,Male,62981,Sandals,Footwear,81,Kansas,M,Purple,Fall,3,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
137,39,Male,9548,Blouse,Clothing,86,South Carolina,M,White,Winter,8,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,Male,33762,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,8,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,68,Male,35860,Skirt,Clothing,29,Georgia,M,Maroon,Winter,5,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,Male,36921,Coat,Outerwear,95,Florida,M,White,Fall,7,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
141,63,Male,92859,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,2,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Male,65104,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,7,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,37,Male,86111,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,2,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,Male,68352,Coat,Outerwear,48,Missouri,M,Beige,Fall,6,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,19,Male,41883,Shoes,Footwear,43,New Jersey,M,Silver,Fall,7,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,24,Male,59809,Jewelry,Accessories,95,Missouri,M,Teal,Fall,8,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,Male,23957,Skirt,Clothing,30,Colorado,S,Black,Fall,6,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
148,63,Male,38547,Shoes,Footwear,64,Idaho,M,Purple,Summer,8,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,Male,35688,Gloves,Accessories,90,Wyoming,M,Gray,Fall,8,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,Male,49605,Pants,Clothing,76,Delaware,M,White,Summer,3,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,35,Male,59354,Boots,Footwear,96,California,L,Cyan,Fall,3,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Male,65747,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,6,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
153,30,Male,46344,Shirt,Clothing,85,South Carolina,S,Brown,Summer,7,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
154,69,Male,34176,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,6,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,41,Male,61010,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,5,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
156,63,Male,69372,Socks,Clothing,77,Maine,S,Olive,Spring,4,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,35,Male,49967,Shorts,Clothing,26,Missouri,M,Lavender,Fall,7,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
158,36,Male,60199,Hat,Accessories,68,Vermont,S,Yellow,Fall,4,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
159,25,Male,55375,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,2,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
160,58,Male,80317,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,1,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
161,27,Male,30523,Gloves,Accessories,23,Texas,M,Orange,Summer,7,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
162,65,Male,70356,Backpack,Accessories,49,North Dakota,M,Olive,Fall,6,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
163,54,Male,23228,Sunglasses,Accessories,74,California,M,Turquoise,Summer,8,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
164,54,Male,74165,Skirt,Clothing,67,Virginia,M,Purple,Summer,2,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
165,59,Male,157243,Handbag,Accessories,65,Delaware,S,Purple,Spring,0,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,42,Male,43482,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,6,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
167,46,Male,62551,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,3,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
168,33,Male,52332,Gloves,Accessories,27,Arkansas,M,Green,Fall,4,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,34,Male,66951,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,1,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
170,27,Male,26091,Jacket,Outerwear,30,Nevada,S,Gold,Summer,5,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
171,52,Male,33456,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,7,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
172,29,Male,28718,Shorts,Clothing,35,Virginia,M,Blue,Summer,8,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,54,Male,50447,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,6,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,25,Male,53537,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,5,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
175,41,Male,52074,Shoes,Footwear,35,Vermont,L,Brown,Winter,4,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
176,53,Male,80427,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,5,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
177,53,Male,83837,Backpack,Accessories,81,New Hampshire,L,Black,Spring,4,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
178,21,Male,38853,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,7,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
179,61,Male,38285,Skirt,Clothing,43,Idaho,L,Lavender,Fall,2,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
180,64,Male,78497,Boots,Footwear,31,Illinois,M,Violet,Fall,2,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
181,51,Male,51650,Sandals,Footwear,81,South Dakota,L,Green,Fall,5,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
182,32,Male,16248,Pants,Clothing,61,Massachusetts,M,Beige,Summer,6,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
